TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
2,002,2024-05-01,9,7,0,2024-05-01 09:07:00,10.10.0.80
2,002,2024-05-01,18,14,1,2024-05-01 18:14:00,10.10.0.81
2,002,2024-05-02,8,54,0,2024-05-02 08:54:00,10.10.0.80
2,002,2024-05-02,18,9,1,2024-05-02 18:09:00,10.10.0.81
2,002,2024-05-03,9,9,0,2024-05-03 09:09:00,10.10.0.80
2,002,2024-05-03,18,20,1,2024-05-03 18:20:00,10.10.0.81
2,002,2024-05-04,9,14,0,2024-05-04 09:14:00,10.10.0.80
2,002,2024-05-04,18,17,1,2024-05-04 18:17:00,10.10.0.81
2,002,2024-05-06,8,53,0,2024-05-06 08:53:00,10.10.0.80
2,002,2024-05-06,18,47,1,2024-05-06 18:47:00,10.10.0.81
2,002,2024-05-07,8,52,0,2024-05-07 08:52:00,10.10.0.80
2,002,2024-05-07,18,23,1,2024-05-07 18:23:00,10.10.0.81
2,002,2024-05-08,8,55,0,2024-05-08 08:55:00,10.10.0.80
2,002,2024-05-08,18,17,1,2024-05-08 18:17:00,10.10.0.81
2,002,2024-05-09,8,55,0,2024-05-09 08:55:00,10.10.0.80
2,002,2024-05-09,18,49,1,2024-05-09 18:49:00,10.10.0.81
2,002,2024-05-10,8,54,0,2024-05-10 08:54:00,10.10.0.80
2,002,2024-05-10,18,12,1,2024-05-10 18:12:00,10.10.0.81
2,002,2024-05-11,9,19,0,2024-05-11 09:19:00,10.10.0.80
2,002,2024-05-11,18,15,1,2024-05-11 18:15:00,10.10.0.81
2,002,2024-05-13,8,55,0,2024-05-13 08:55:00,10.10.0.80
2,002,2024-05-13,18,15,1,2024-05-13 18:15:00,10.10.0.81
3,002,2024-05-01,9,11,0,2024-05-01 09:11:00,10.10.0.80
3,002,2024-05-01,18,42,1,2024-05-01 18:42:00,10.10.0.81
3,002,2024-05-02,9,7,0,2024-05-02 09:07:00,10.10.0.80
3,002,2024-05-02,23,35,1,2024-05-02 23:35:00,10.10.0.81
3,002,2024-05-03,0,7,0,2024-05-03 00:07:00,10.10.0.80
3,002,2024-05-03,11,5,1,2024-05-03 11:05:00,10.10.0.81
3,002,2024-05-04,9,42,0,2024-05-04 09:42:00,10.10.0.80
3,002,2024-05-04,20,10,1,2024-05-04 20:10:00,10.10.0.81
3,002,2024-05-05,9,21,0,2024-05-05 09:21:00,10.10.0.80
3,002,2024-05-05,15,1,1,2024-05-05 15:01:00,10.10.0.81
3,002,2024-05-06,9,17,0,2024-05-06 09:17:00,10.10.0.80
3,002,2024-05-06,20,14,1,2024-05-06 20:14:00,10.10.0.81
3,002,2024-05-07,8,57,0,2024-05-07 08:57:00,10.10.0.80
3,002,2024-05-08,12,4,1,2024-05-08 12:04:00,10.10.0.81
3,002,2024-05-09,9,11,0,2024-05-09 09:11:00,10.10.0.80
3,002,2024-05-09,19,2,1,2024-05-09 19:02:00,10.10.0.81
3,002,2024-05-10,9,18,0,2024-05-10 09:18:00,10.10.0.80
3,002,2024-05-10,18,21,1,2024-05-10 18:21:00,10.10.0.81
3,002,2024-05-11,9,15,0,2024-05-11 09:15:00,10.10.0.80
3,002,2024-05-11,18,24,1,2024-05-11 18:24:00,10.10.0.81
3,002,2024-05-12,6,20,0,2024-05-12 06:20:00,10.10.0.80
3,002,2024-05-12,17,55,1,2024-05-12 17:55:00,10.10.0.81
3,002,2024-05-13,9,11,0,2024-05-13 09:11:00,10.10.0.80
3,002,2024-05-13,17,44,1,2024-05-13 17:44:00,10.10.0.81
7,002,2024-05-01,10,6,0,2024-05-01 10:06:00,10.10.0.80
7,002,2024-05-01,19,38,1,2024-05-01 19:38:00,10.10.0.81
7,002,2024-05-03,9,4,0,2024-05-03 09:04:00,10.10.0.80
7,002,2024-05-03,19,37,1,2024-05-03 19:37:00,10.10.0.81
7,002,2024-05-04,9,25,0,2024-05-04 09:25:00,10.10.0.80
7,002,2024-05-05,6,43,1,2024-05-05 06:43:00,10.10.0.81
7,002,2024-05-06,9,17,0,2024-05-06 09:17:00,10.10.0.80
7,002,2024-05-06,19,24,1,2024-05-06 19:24:00,10.10.0.81
7,002,2024-05-07,9,19,0,2024-05-07 09:19:00,10.10.0.80
7,002,2024-05-07,19,53,1,2024-05-07 19:53:00,10.10.0.81
7,002,2024-05-08,9,14,0,2024-05-08 09:14:00,10.10.0.80
7,002,2024-05-08,20,26,1,2024-05-08 20:26:00,10.10.0.81
7,002,2024-05-09,9,3,0,2024-05-09 09:03:00,10.10.0.80
7,002,2024-05-09,18,49,1,2024-05-09 18:49:00,10.10.0.81
7,002,2024-05-10,9,49,0,2024-05-10 09:49:00,10.10.0.80
7,002,2024-05-10,20,40,1,2024-05-10 20:40:00,10.10.0.81
7,002,2024-05-12,20,4,0,2024-05-12 20:04:00,10.10.0.80
7,002,2024-05-13,7,10,0,2024-05-13 07:10:00,10.10.0.80
7,002,2024-05-13,7,10,1,2024-05-13 07:10:00,10.10.0.81
7,002,2024-05-13,13,11,1,2024-05-13 13:11:00,10.10.0.81
11,002,2024-05-01,9,2,0,2024-05-01 09:02:00,10.10.0.80
11,002,2024-05-01,18,16,1,2024-05-01 18:16:00,10.10.0.81
11,002,2024-05-02,9,11,0,2024-05-02 09:11:00,10.10.0.80
11,002,2024-05-02,18,32,1,2024-05-02 18:32:00,10.10.0.81
11,002,2024-05-03,9,13,0,2024-05-03 09:13:00,10.10.0.80
11,002,2024-05-04,10,28,1,2024-05-04 10:28:00,10.10.0.81
11,002,2024-05-06,8,46,0,2024-05-06 08:46:00,10.10.0.80
11,002,2024-05-06,18,57,1,2024-05-06 18:57:00,10.10.0.81
11,002,2024-05-07,9,33,0,2024-05-07 09:33:00,10.10.0.80
11,002,2024-05-07,17,18,1,2024-05-07 17:18:00,10.10.0.81
11,002,2024-05-08,9,27,0,2024-05-08 09:27:00,10.10.0.80
11,002,2024-05-09,11,14,1,2024-05-09 11:14:00,10.10.0.81
11,002,2024-05-13,11,11,0,2024-05-13 11:11:00,10.10.0.80
11,002,2024-05-13,18,6,1,2024-05-13 18:06:00,10.10.0.81
22,002,2024-05-01,12,18,0,2024-05-01 12:18:00,10.10.0.80
22,002,2024-05-01,21,34,1,2024-05-01 21:34:00,10.10.0.81
22,002,2024-05-02,12,15,0,2024-05-02 12:15:00,10.10.0.80
22,002,2024-05-02,22,0,1,2024-05-02 22:00:00,10.10.0.81
22,002,2024-05-03,12,10,0,2024-05-03 12:10:00,10.10.0.80
22,002,2024-05-03,21,55,1,2024-05-03 21:55:00,10.10.0.81
22,002,2024-05-04,12,39,0,2024-05-04 12:39:00,10.10.0.80
22,002,2024-05-04,21,5,1,2024-05-04 21:05:00,10.10.0.81
22,002,2024-05-05,12,24,0,2024-05-05 12:24:00,10.10.0.80
22,002,2024-05-08,12,18,0,2024-05-08 12:18:00,10.10.0.80
22,002,2024-05-08,22,17,1,2024-05-08 22:17:00,10.10.0.81
22,002,2024-05-09,11,15,0,2024-05-09 11:15:00,10.10.0.80
22,002,2024-05-09,21,2,1,2024-05-09 21:02:00,10.10.0.81
22,002,2024-05-10,11,48,0,2024-05-10 11:48:00,10.10.0.80
22,002,2024-05-10,20,32,1,2024-05-10 20:32:00,10.10.0.81
22,002,2024-05-11,9,55,0,2024-05-11 09:55:00,10.10.0.80
22,002,2024-05-11,20,4,1,2024-05-11 20:04:00,10.10.0.81
22,002,2024-05-12,9,55,0,2024-05-12 09:55:00,10.10.0.80
22,002,2024-05-12,20,13,1,2024-05-12 20:13:00,10.10.0.81
22,002,2024-05-13,9,24,0,2024-05-13 09:24:00,10.10.0.80
22,002,2024-05-13,17,45,1,2024-05-13 17:45:00,10.10.0.81
27,002,2024-05-01,7,24,1,2024-05-01 07:24:00,10.10.0.81
27,002,2024-05-01,21,46,0,2024-05-01 21:46:00,10.10.0.80
27,002,2024-05-02,7,38,1,2024-05-02 07:38:00,10.10.0.81
27,002,2024-05-02,21,47,0,2024-05-02 21:47:00,10.10.0.80
27,002,2024-05-03,7,31,1,2024-05-03 07:31:00,10.10.0.81
27,002,2024-05-03,21,45,0,2024-05-03 21:45:00,10.10.0.80
27,002,2024-05-04,7,25,1,2024-05-04 07:25:00,10.10.0.81
27,002,2024-05-04,21,47,0,2024-05-04 21:47:00,10.10.0.80
27,002,2024-05-05,7,35,1,2024-05-05 07:35:00,10.10.0.81
27,002,2024-05-05,21,44,0,2024-05-05 21:44:00,10.10.0.80
27,002,2024-05-06,7,27,1,2024-05-06 07:27:00,10.10.0.81
27,002,2024-05-08,21,44,0,2024-05-08 21:44:00,10.10.0.80
27,002,2024-05-09,7,26,1,2024-05-09 07:26:00,10.10.0.81
27,002,2024-05-09,21,42,0,2024-05-09 21:42:00,10.10.0.80
27,002,2024-05-10,7,28,1,2024-05-10 07:28:00,10.10.0.81
27,002,2024-05-10,21,46,0,2024-05-10 21:46:00,10.10.0.80
27,002,2024-05-11,7,30,1,2024-05-11 07:30:00,10.10.0.81
27,002,2024-05-11,21,46,0,2024-05-11 21:46:00,10.10.0.80
27,002,2024-05-12,7,27,1,2024-05-12 07:27:00,10.10.0.81
27,002,2024-05-12,21,52,0,2024-05-12 21:52:00,10.10.0.80
27,002,2024-05-13,7,40,1,2024-05-13 07:40:00,10.10.0.81
27,002,2024-05-13,21,49,0,2024-05-13 21:49:00,10.10.0.80
29,002,2024-05-01,0,16,1,2024-05-01 00:16:00,10.10.0.81
29,002,2024-05-01,10,29,0,2024-05-01 10:29:00,10.10.0.80
29,002,2024-05-01,15,12,1,2024-05-01 15:12:00,10.10.0.81
29,002,2024-05-01,19,1,0,2024-05-01 19:01:00,10.10.0.80
29,002,2024-05-01,23,59,1,2024-05-01 23:59:00,10.10.0.81
29,002,2024-05-02,10,33,0,2024-05-02 10:33:00,10.10.0.80
29,002,2024-05-02,15,31,1,2024-05-02 15:31:00,10.10.0.81
29,002,2024-05-02,18,51,0,2024-05-02 18:51:00,10.10.0.80
29,002,2024-05-02,23,59,1,2024-05-02 23:59:00,10.10.0.81
29,002,2024-05-03,10,31,0,2024-05-03 10:31:00,10.10.0.80
29,002,2024-05-03,15,11,1,2024-05-03 15:11:00,10.10.0.81
29,002,2024-05-03,18,55,0,2024-05-03 18:55:00,10.10.0.80
29,002,2024-05-03,23,43,1,2024-05-03 23:43:00,10.10.0.81
29,002,2024-05-04,10,30,0,2024-05-04 10:30:00,10.10.0.80
29,002,2024-05-04,15,20,1,2024-05-04 15:20:00,10.10.0.81
29,002,2024-05-04,19,6,0,2024-05-04 19:06:00,10.10.0.80
29,002,2024-05-05,0,5,1,2024-05-05 00:05:00,10.10.0.81
29,002,2024-05-06,10,33,0,2024-05-06 10:33:00,10.10.0.80
29,002,2024-05-06,15,35,1,2024-05-06 15:35:00,10.10.0.81
29,002,2024-05-06,19,2,0,2024-05-06 19:02:00,10.10.0.80
29,002,2024-05-06,23,45,1,2024-05-06 23:45:00,10.10.0.81
29,002,2024-05-07,10,26,0,2024-05-07 10:26:00,10.10.0.80
29,002,2024-05-07,15,21,1,2024-05-07 15:21:00,10.10.0.81
29,002,2024-05-07,18,58,0,2024-05-07 18:58:00,10.10.0.80
29,002,2024-05-08,0,0,1,2024-05-08 00:00:00,10.10.0.81
29,002,2024-05-08,10,21,0,2024-05-08 10:21:00,10.10.0.80
29,002,2024-05-08,15,16,1,2024-05-08 15:16:00,10.10.0.81
29,002,2024-05-08,19,0,1,2024-05-08 19:00:00,10.10.0.81
29,002,2024-05-08,22,4,1,2024-05-08 22:04:00,10.10.0.81
29,002,2024-05-10,12,24,0,2024-05-10 12:24:00,10.10.0.80
29,002,2024-05-10,15,25,1,2024-05-10 15:25:00,10.10.0.81
29,002,2024-05-10,18,56,0,2024-05-10 18:56:00,10.10.0.80
29,002,2024-05-11,0,13,1,2024-05-11 00:13:00,10.10.0.81
29,002,2024-05-11,10,29,0,2024-05-11 10:29:00,10.10.0.80
29,002,2024-05-11,15,27,1,2024-05-11 15:27:00,10.10.0.81
29,002,2024-05-11,19,9,0,2024-05-11 19:09:00,10.10.0.80
29,002,2024-05-11,23,41,1,2024-05-11 23:41:00,10.10.0.81
29,002,2024-05-13,10,38,0,2024-05-13 10:38:00,10.10.0.80
29,002,2024-05-13,15,27,1,2024-05-13 15:27:00,10.10.0.81
29,002,2024-05-13,19,4,0,2024-05-13 19:04:00,10.10.0.80
29,002,2024-05-13,23,58,1,2024-05-13 23:58:00,10.10.0.81
36,002,2024-05-01,8,0,0,2024-05-01 08:00:00,10.10.0.80
36,002,2024-05-01,17,15,1,2024-05-01 17:15:00,10.10.0.81
36,002,2024-05-02,7,54,0,2024-05-02 07:54:00,10.10.0.80
36,002,2024-05-02,16,55,1,2024-05-02 16:55:00,10.10.0.81
36,002,2024-05-03,7,8,0,2024-05-03 07:08:00,10.10.0.80
36,002,2024-05-03,16,33,1,2024-05-03 16:33:00,10.10.0.81
36,002,2024-05-04,7,53,0,2024-05-04 07:53:00,10.10.0.80
36,002,2024-05-04,17,25,1,2024-05-04 17:25:00,10.10.0.81
36,002,2024-05-05,8,5,0,2024-05-05 08:05:00,10.10.0.80
36,002,2024-05-05,13,24,1,2024-05-05 13:24:00,10.10.0.81
36,002,2024-05-08,7,56,0,2024-05-08 07:56:00,10.10.0.80
36,002,2024-05-08,17,19,1,2024-05-08 17:19:00,10.10.0.81
36,002,2024-05-09,7,53,0,2024-05-09 07:53:00,10.10.0.80
36,002,2024-05-09,17,15,1,2024-05-09 17:15:00,10.10.0.81
36,002,2024-05-10,7,58,0,2024-05-10 07:58:00,10.10.0.80
36,002,2024-05-10,17,10,1,2024-05-10 17:10:00,10.10.0.81
36,002,2024-05-11,8,7,0,2024-05-11 08:07:00,10.10.0.80
36,002,2024-05-11,17,8,1,2024-05-11 17:08:00,10.10.0.81
36,002,2024-05-12,7,58,0,2024-05-12 07:58:00,10.10.0.80
36,002,2024-05-13,7,53,0,2024-05-13 07:53:00,10.10.0.80
36,002,2024-05-13,17,1,1,2024-05-13 17:01:00,10.10.0.81
47,002,2024-05-01,9,41,0,2024-05-01 09:41:00,10.10.0.80
47,002,2024-05-01,18,4,1,2024-05-01 18:04:00,10.10.0.81
47,002,2024-05-02,9,11,0,2024-05-02 09:11:00,10.10.0.80
47,002,2024-05-02,13,17,1,2024-05-02 13:17:00,10.10.0.81
47,002,2024-05-04,9,30,0,2024-05-04 09:30:00,10.10.0.80
47,002,2024-05-04,19,29,1,2024-05-04 19:29:00,10.10.0.81
47,002,2024-05-06,9,39,0,2024-05-06 09:39:00,10.10.0.80
47,002,2024-05-06,19,17,1,2024-05-06 19:17:00,10.10.0.81
47,002,2024-05-07,9,17,0,2024-05-07 09:17:00,10.10.0.80
47,002,2024-05-07,18,5,1,2024-05-07 18:05:00,10.10.0.81
47,002,2024-05-08,9,48,0,2024-05-08 09:48:00,10.10.0.80
47,002,2024-05-08,18,16,1,2024-05-08 18:16:00,10.10.0.81
47,002,2024-05-09,10,15,0,2024-05-09 10:15:00,10.10.0.80
47,002,2024-05-09,18,13,1,2024-05-09 18:13:00,10.10.0.81
47,002,2024-05-10,9,44,0,2024-05-10 09:44:00,10.10.0.80
47,002,2024-05-10,18,9,1,2024-05-10 18:09:00,10.10.0.81
47,002,2024-05-11,9,30,0,2024-05-11 09:30:00,10.10.0.80
47,002,2024-05-11,18,13,1,2024-05-11 18:13:00,10.10.0.81
47,002,2024-05-13,9,24,0,2024-05-13 09:24:00,10.10.0.80
47,002,2024-05-13,19,36,1,2024-05-13 19:36:00,10.10.0.81
50,002,2024-05-01,12,17,0,2024-05-01 12:17:00,10.10.0.80
50,002,2024-05-01,22,0,1,2024-05-01 22:00:00,10.10.0.81
50,002,2024-05-02,12,32,0,2024-05-02 12:32:00,10.10.0.80
50,002,2024-05-02,21,36,1,2024-05-02 21:36:00,10.10.0.81
50,002,2024-05-03,12,33,0,2024-05-03 12:33:00,10.10.0.80
50,002,2024-05-03,21,39,1,2024-05-03 21:39:00,10.10.0.81
50,002,2024-05-05,12,21,0,2024-05-05 12:21:00,10.10.0.80
50,002,2024-05-05,21,33,1,2024-05-05 21:33:00,10.10.0.81
50,002,2024-05-06,21,0,0,2024-05-06 21:00:00,10.10.0.80
50,002,2024-05-07,6,11,1,2024-05-07 06:11:00,10.10.0.81
50,002,2024-05-07,6,12,0,2024-05-07 06:12:00,10.10.0.80
50,002,2024-05-07,14,6,1,2024-05-07 14:06:00,10.10.0.81
50,002,2024-05-08,12,27,0,2024-05-08 12:27:00,10.10.0.80
50,002,2024-05-08,21,58,1,2024-05-08 21:58:00,10.10.0.81
50,002,2024-05-09,14,23,0,2024-05-09 14:23:00,10.10.0.80
50,002,2024-05-09,22,9,1,2024-05-09 22:09:00,10.10.0.81
50,002,2024-05-10,12,39,0,2024-05-10 12:39:00,10.10.0.80
50,002,2024-05-10,21,25,1,2024-05-10 21:25:00,10.10.0.81
50,002,2024-05-11,8,14,0,2024-05-11 08:14:00,10.10.0.80
50,002,2024-05-11,17,35,1,2024-05-11 17:35:00,10.10.0.81
50,002,2024-05-13,21,17,0,2024-05-13 21:17:00,10.10.0.80
51,002,2024-05-01,8,44,0,2024-05-01 08:44:00,10.10.0.80
51,002,2024-05-01,17,22,1,2024-05-01 17:22:00,10.10.0.81
51,002,2024-05-02,9,42,0,2024-05-02 09:42:00,10.10.0.80
51,002,2024-05-02,17,42,1,2024-05-02 17:42:00,10.10.0.81
51,002,2024-05-03,8,36,0,2024-05-03 08:36:00,10.10.0.80
51,002,2024-05-03,17,11,1,2024-05-03 17:11:00,10.10.0.81
51,002,2024-05-04,8,46,0,2024-05-04 08:46:00,10.10.0.80
51,002,2024-05-04,17,31,1,2024-05-04 17:31:00,10.10.0.81
51,002,2024-05-05,8,35,0,2024-05-05 08:35:00,10.10.0.80
51,002,2024-05-05,17,26,1,2024-05-05 17:26:00,10.10.0.81
51,002,2024-05-07,8,36,0,2024-05-07 08:36:00,10.10.0.80
51,002,2024-05-07,17,34,1,2024-05-07 17:34:00,10.10.0.81
51,002,2024-05-08,8,29,0,2024-05-08 08:29:00,10.10.0.80
51,002,2024-05-08,17,8,1,2024-05-08 17:08:00,10.10.0.81
51,002,2024-05-09,9,13,0,2024-05-09 09:13:00,10.10.0.80
51,002,2024-05-09,17,26,1,2024-05-09 17:26:00,10.10.0.81
51,002,2024-05-10,8,24,0,2024-05-10 08:24:00,10.10.0.80
51,002,2024-05-10,17,7,1,2024-05-10 17:07:00,10.10.0.81
51,002,2024-05-11,8,45,0,2024-05-11 08:45:00,10.10.0.80
51,002,2024-05-11,17,21,1,2024-05-11 17:21:00,10.10.0.81
51,002,2024-05-12,8,24,0,2024-05-12 08:24:00,10.10.0.80
51,002,2024-05-12,17,30,1,2024-05-12 17:30:00,10.10.0.81
52,002,2024-05-01,6,56,0,2024-05-01 06:56:00,10.10.0.80
52,002,2024-05-01,16,30,1,2024-05-01 16:30:00,10.10.0.81
52,002,2024-05-02,6,53,0,2024-05-02 06:53:00,10.10.0.80
52,002,2024-05-02,16,45,1,2024-05-02 16:45:00,10.10.0.81
52,002,2024-05-03,6,53,0,2024-05-03 06:53:00,10.10.0.80
52,002,2024-05-03,16,40,1,2024-05-03 16:40:00,10.10.0.81
52,002,2024-05-04,6,53,0,2024-05-04 06:53:00,10.10.0.80
52,002,2024-05-04,16,30,1,2024-05-04 16:30:00,10.10.0.81
52,002,2024-05-06,6,51,0,2024-05-06 06:51:00,10.10.0.80
52,002,2024-05-06,16,38,1,2024-05-06 16:38:00,10.10.0.81
52,002,2024-05-07,6,42,0,2024-05-07 06:42:00,10.10.0.80
52,002,2024-05-07,16,59,1,2024-05-07 16:59:00,10.10.0.81
52,002,2024-05-08,7,4,0,2024-05-08 07:04:00,10.10.0.80
52,002,2024-05-08,16,43,1,2024-05-08 16:43:00,10.10.0.81
52,002,2024-05-09,6,48,0,2024-05-09 06:48:00,10.10.0.80
52,002,2024-05-09,17,7,1,2024-05-09 17:07:00,10.10.0.81
52,002,2024-05-10,7,7,0,2024-05-10 07:07:00,10.10.0.80
52,002,2024-05-10,16,35,1,2024-05-10 16:35:00,10.10.0.81
52,002,2024-05-11,6,56,0,2024-05-11 06:56:00,10.10.0.80
52,002,2024-05-11,16,45,1,2024-05-11 16:45:00,10.10.0.81
52,002,2024-05-13,6,50,0,2024-05-13 06:50:00,10.10.0.80
52,002,2024-05-13,16,46,1,2024-05-13 16:46:00,10.10.0.81
54,002,2024-05-01,8,15,1,2024-05-01 08:15:00,10.10.0.81
54,002,2024-05-01,20,17,0,2024-05-01 20:17:00,10.10.0.80
54,002,2024-05-02,8,31,1,2024-05-02 08:31:00,10.10.0.81
54,002,2024-05-02,21,18,0,2024-05-02 21:18:00,10.10.0.80
54,002,2024-05-03,7,56,1,2024-05-03 07:56:00,10.10.0.81
54,002,2024-05-03,20,35,0,2024-05-03 20:35:00,10.10.0.80
54,002,2024-05-04,8,35,1,2024-05-04 08:35:00,10.10.0.81
54,002,2024-05-04,21,3,0,2024-05-04 21:03:00,10.10.0.80
54,002,2024-05-05,8,6,1,2024-05-05 08:06:00,10.10.0.81
54,002,2024-05-05,20,30,0,2024-05-05 20:30:00,10.10.0.80
54,002,2024-05-06,7,53,1,2024-05-06 07:53:00,10.10.0.81
54,002,2024-05-06,21,50,0,2024-05-06 21:50:00,10.10.0.80
54,002,2024-05-07,8,13,1,2024-05-07 08:13:00,10.10.0.81
54,002,2024-05-07,21,2,0,2024-05-07 21:02:00,10.10.0.80
54,002,2024-05-08,8,36,1,2024-05-08 08:36:00,10.10.0.81
54,002,2024-05-08,21,31,0,2024-05-08 21:31:00,10.10.0.80
54,002,2024-05-09,7,50,1,2024-05-09 07:50:00,10.10.0.81
54,002,2024-05-09,21,13,0,2024-05-09 21:13:00,10.10.0.80
54,002,2024-05-10,8,38,1,2024-05-10 08:38:00,10.10.0.81
54,002,2024-05-10,20,52,0,2024-05-10 20:52:00,10.10.0.80
54,002,2024-05-11,8,52,1,2024-05-11 08:52:00,10.10.0.81
54,002,2024-05-11,20,46,0,2024-05-11 20:46:00,10.10.0.80
54,002,2024-05-12,8,3,1,2024-05-12 08:03:00,10.10.0.81
55,002,2024-05-01,7,40,0,2024-05-01 07:40:00,10.10.0.80
55,002,2024-05-01,16,54,1,2024-05-01 16:54:00,10.10.0.81
55,002,2024-05-02,7,11,0,2024-05-02 07:11:00,10.10.0.80
55,002,2024-05-02,16,57,1,2024-05-02 16:57:00,10.10.0.81
55,002,2024-05-04,6,49,0,2024-05-04 06:49:00,10.10.0.80
55,002,2024-05-04,16,37,1,2024-05-04 16:37:00,10.10.0.81
55,002,2024-05-05,7,0,0,2024-05-05 07:00:00,10.10.0.80
55,002,2024-05-05,16,21,1,2024-05-05 16:21:00,10.10.0.81
55,002,2024-05-06,7,17,0,2024-05-06 07:17:00,10.10.0.80
55,002,2024-05-06,16,56,1,2024-05-06 16:56:00,10.10.0.81
55,002,2024-05-07,6,50,0,2024-05-07 06:50:00,10.10.0.80
55,002,2024-05-07,17,14,1,2024-05-07 17:14:00,10.10.0.81
55,002,2024-05-08,6,49,0,2024-05-08 06:49:00,10.10.0.80
55,002,2024-05-08,17,1,1,2024-05-08 17:01:00,10.10.0.81
55,002,2024-05-09,7,4,0,2024-05-09 07:04:00,10.10.0.80
55,002,2024-05-09,17,42,1,2024-05-09 17:42:00,10.10.0.81
55,002,2024-05-10,7,6,0,2024-05-10 07:06:00,10.10.0.80
55,002,2024-05-10,16,32,1,2024-05-10 16:32:00,10.10.0.81
55,002,2024-05-11,6,45,0,2024-05-11 06:45:00,10.10.0.80
55,002,2024-05-11,17,35,1,2024-05-11 17:35:00,10.10.0.81
55,002,2024-05-12,7,5,0,2024-05-12 07:05:00,10.10.0.80
55,002,2024-05-12,16,42,1,2024-05-12 16:42:00,10.10.0.81
55,002,2024-05-13,7,22,0,2024-05-13 07:22:00,10.10.0.80
55,002,2024-05-13,17,9,1,2024-05-13 17:09:00,10.10.0.81
58,002,2024-05-01,7,17,0,2024-05-01 07:17:00,10.10.0.80
58,002,2024-05-01,16,53,1,2024-05-01 16:53:00,10.10.0.81
58,002,2024-05-03,7,10,0,2024-05-03 07:10:00,10.10.0.80
58,002,2024-05-03,16,44,1,2024-05-03 16:44:00,10.10.0.81
58,002,2024-05-04,7,12,0,2024-05-04 07:12:00,10.10.0.80
58,002,2024-05-04,16,49,1,2024-05-04 16:49:00,10.10.0.81
58,002,2024-05-05,7,9,0,2024-05-05 07:09:00,10.10.0.80
58,002,2024-05-05,16,28,1,2024-05-05 16:28:00,10.10.0.81
58,002,2024-05-06,7,13,0,2024-05-06 07:13:00,10.10.0.80
58,002,2024-05-06,16,56,1,2024-05-06 16:56:00,10.10.0.81
58,002,2024-05-07,12,26,0,2024-05-07 12:26:00,10.10.0.80
58,002,2024-05-07,22,27,1,2024-05-07 22:27:00,10.10.0.81
58,002,2024-05-08,7,14,0,2024-05-08 07:14:00,10.10.0.80
58,002,2024-05-08,17,7,1,2024-05-08 17:07:00,10.10.0.81
58,002,2024-05-10,7,11,0,2024-05-10 07:11:00,10.10.0.80
58,002,2024-05-10,16,54,1,2024-05-10 16:54:00,10.10.0.81
58,002,2024-05-11,7,16,0,2024-05-11 07:16:00,10.10.0.80
58,002,2024-05-11,17,39,1,2024-05-11 17:39:00,10.10.0.81
58,002,2024-05-12,7,14,0,2024-05-12 07:14:00,10.10.0.80
58,002,2024-05-12,16,46,1,2024-05-12 16:46:00,10.10.0.81
58,002,2024-05-13,7,18,0,2024-05-13 07:18:00,10.10.0.80
58,002,2024-05-13,7,55,1,2024-05-13 07:55:00,10.10.0.81
58,002,2024-05-13,12,39,0,2024-05-13 12:39:00,10.10.0.80
58,002,2024-05-13,21,49,1,2024-05-13 21:49:00,10.10.0.81
63,002,2024-05-01,14,58,1,2024-05-01 14:58:00,10.10.0.81
63,002,2024-05-02,6,45,0,2024-05-02 06:45:00,10.10.0.80
63,002,2024-05-02,18,47,1,2024-05-02 18:47:00,10.10.0.81
63,002,2024-05-03,6,41,0,2024-05-03 06:41:00,10.10.0.80
63,002,2024-05-03,18,49,1,2024-05-03 18:49:00,10.10.0.81
63,002,2024-05-04,7,0,0,2024-05-04 07:00:00,10.10.0.80
63,002,2024-05-04,18,46,1,2024-05-04 18:46:00,10.10.0.81
63,002,2024-05-05,6,36,0,2024-05-05 06:36:00,10.10.0.80
63,002,2024-05-05,18,46,1,2024-05-05 18:46:00,10.10.0.81
63,002,2024-05-06,7,1,0,2024-05-06 07:01:00,10.10.0.80
63,002,2024-05-06,18,49,1,2024-05-06 18:49:00,10.10.0.81
63,002,2024-05-07,6,38,0,2024-05-07 06:38:00,10.10.0.80
63,002,2024-05-07,18,47,1,2024-05-07 18:47:00,10.10.0.81
63,002,2024-05-10,18,43,1,2024-05-10 18:43:00,10.10.0.81
63,002,2024-05-11,6,51,0,2024-05-11 06:51:00,10.10.0.80
63,002,2024-05-11,18,48,1,2024-05-11 18:48:00,10.10.0.81
63,002,2024-05-12,6,46,0,2024-05-12 06:46:00,10.10.0.80
63,002,2024-05-12,18,47,1,2024-05-12 18:47:00,10.10.0.81
63,002,2024-05-13,6,55,0,2024-05-13 06:55:00,10.10.0.80
63,002,2024-05-13,18,48,1,2024-05-13 18:48:00,10.10.0.81
65,002,2024-05-01,7,49,0,2024-05-01 07:49:00,10.10.0.80
65,002,2024-05-01,20,7,1,2024-05-01 20:07:00,10.10.0.81
65,002,2024-05-02,8,4,0,2024-05-02 08:04:00,10.10.0.80
65,002,2024-05-02,20,10,1,2024-05-02 20:10:00,10.10.0.81
65,002,2024-05-03,7,50,0,2024-05-03 07:50:00,10.10.0.80
65,002,2024-05-03,20,20,1,2024-05-03 20:20:00,10.10.0.81
